,quiz_question,correct
0,1.8.1,True
1,1.8.1,False
2,1.8.1,False
3,1.8.1,True
4,1.8.1,False
5,1.8.1,False
6,1.8.1,True
7,1.8.1,True
8,1.8.1,True
9,1.8.1,True
10,1.8.1,False
11,1.8.1,False
12,1.8.1,False
13,1.8.1,True
14,1.8.1,False
15,1.8.1,False
16,1.8.1,True
17,1.8.1,True
18,1.8.1,False
19,1.8.1,False
20,1.8.1,False
21,1.8.1,False
22,1.8.1,False
23,1.8.1,False
24,1.8.1,True
25,1.8.1,True
26,1.8.1,True
27,1.8.1,True
28,1.8.1,True
29,1.8.1,True
30,1.8.1,True
31,1.8.1,True
32,1.8.1,True
33,1.8.1,True
34,1.8.1,True
35,1.8.1,True
36,1.8.1,True
37,1.8.1,True
38,1.8.1,True
39,1.8.1,False
40,1.8.1,False
41,1.8.1,False
42,1.8.1,False
43,1.8.1,True
44,1.8.1,True
45,1.8.1,True
46,1.8.1,True
47,1.8.1,False
48,1.8.1,False
49,1.8.1,False
50,1.8.1,True
51,1.8.1,False
52,1.8.1,True
53,1.8.1,True
54,1.8.1,True
55,1.8.1,True
56,1.8.1,True
57,1.8.1,False
58,1.8.1,True
59,1.8.1,True
60,1.8.1,True
61,1.8.1,True
62,1.8.1,False
63,1.8.1,True
64,1.8.1,True
65,1.8.1,False
66,1.8.1,False
67,1.8.1,True
68,1.8.1,True
69,1.8.1,False
70,1.8.1,True
71,1.8.1,False
72,1.8.1,True
73,1.8.1,False
74,1.8.1,False
75,1.8.1,True
76,1.8.1,True
77,1.8.1,True
78,1.8.1,True
79,1.8.1,True
80,1.8.1,True
81,1.8.1,True
82,1.8.1,True
83,1.8.1,True
84,1.8.1,False
85,1.8.1,True
86,1.8.1,True
87,1.8.1,True
88,1.8.1,True
89,1.8.1,False
90,1.8.1,False
91,1.8.1,True
92,1.8.1,True
93,1.8.1,False
94,1.8.1,True
95,1.8.1,False
96,1.8.1,True
97,1.8.1,True
98,1.8.1,True
99,1.8.1,True
100,1.8.1,True
101,1.8.1,True
102,1.8.1,False
103,1.8.1,True
104,1.8.1,True
105,1.8.1,False
106,1.8.1,False
107,1.8.1,True
108,1.8.1,True
109,1.8.1,True
110,1.8.1,False
111,1.8.1,False
112,1.8.1,True
113,1.8.1,True
114,1.8.1,False
115,1.8.1,False
116,1.8.1,True
117,1.8.1,True
118,1.8.1,True
119,1.8.1,True
120,1.8.1,False
121,1.8.1,True
122,1.8.1,False
123,1.8.1,False
124,1.8.1,True
125,1.8.1,False
126,1.8.1,False
127,1.8.1,True
128,1.8.1,True
129,1.8.1,False
130,1.8.1,False
131,1.8.1,False
132,1.8.1,False
133,1.8.1,False
134,1.8.1,True
135,1.8.1,True
136,1.8.1,True
137,1.8.1,True
138,1.8.1,True
139,1.8.1,True
140,1.8.1,True
141,1.8.1,True
142,1.8.1,True
143,1.8.1,False
144,1.8.1,True
145,1.8.1,False
146,1.8.1,False
147,1.8.1,True
148,1.8.1,True
149,1.8.1,True
150,1.8.1,True
151,1.8.1,False
152,1.8.1,True
153,1.8.1,True
154,1.8.1,True
155,1.8.1,False
156,1.8.1,True
157,1.8.1,True
158,1.8.1,True
159,1.8.1,False
160,1.8.1,False
161,1.8.1,False
162,1.8.1,False
163,1.8.1,False
164,1.8.1,False
165,1.8.1,True
166,1.8.1,False
167,1.8.1,True
168,1.8.1,False
169,1.8.1,True
170,1.8.1,True
171,1.8.1,False
172,1.8.1,False
173,1.8.1,True
174,1.8.1,False
175,1.8.1,True
176,1.8.1,False
177,1.8.1,False
178,1.8.1,True
179,1.8.1,True
180,1.8.1,True
181,1.8.1,False
182,1.8.1,True
183,1.8.1,False
184,1.8.1,False
185,1.8.1,True
186,1.8.1,True
187,1.8.1,True
188,1.8.1,True
189,1.8.1,True
190,1.8.1,True
191,1.8.1,False
192,1.8.1,False
193,1.8.1,True
194,1.8.1,False
195,1.8.1,True
196,1.8.1,True
197,1.8.1,True
198,1.8.1,True
199,1.8.1,False
200,1.8.1,False
201,1.8.1,True
202,1.8.1,False
203,1.8.1,True
204,1.8.1,False
205,1.8.1,False
206,1.8.1,True
207,1.8.1,True
208,1.8.1,False
209,1.8.1,False
210,1.8.1,False
211,1.8.1,True
212,1.8.1,False
213,1.8.1,True
214,1.8.1,True
215,1.8.1,True
216,1.8.1,True
217,1.8.1,True
218,1.8.1,True
219,1.8.1,False
220,1.8.1,False
221,1.8.1,True
222,1.8.1,True
223,1.8.1,True
224,1.8.1,True
225,1.8.1,True
226,1.8.1,True
227,1.8.1,True
228,1.8.1,True
229,1.8.1,True
230,1.8.1,True
231,1.8.1,True
232,1.8.1,False
233,1.8.1,True
234,1.8.1,True
235,1.8.1,True
236,1.8.1,True
237,1.8.1,True
238,1.8.1,True
239,1.8.1,False
240,1.8.1,True
241,1.8.1,False
242,1.8.1,False
243,1.8.1,True
244,1.8.1,True
245,1.8.1,True
246,1.8.1,False
247,1.8.1,False
248,1.8.1,True
249,1.8.1,True
250,1.8.1,False
251,1.8.1,True
252,1.8.1,True
253,1.8.1,False
254,1.8.1,True
255,1.8.1,False
256,1.8.1,True
257,1.8.1,False
258,1.8.1,True
259,1.8.1,True
260,1.8.1,True
261,1.8.1,False
262,1.8.1,True
263,1.8.1,True
264,1.8.1,True
265,1.8.1,False
266,1.8.1,False
267,1.8.1,True
268,1.8.1,True
269,1.8.1,True
270,1.8.1,True
271,1.8.1,True
272,1.8.1,True
273,1.8.1,False
274,1.8.1,False
275,1.8.1,True
276,1.8.1,False
277,1.8.1,True
278,1.8.1,True
279,1.8.1,False
280,1.8.1,False
281,1.8.1,True
282,1.8.1,False
283,1.8.1,False
284,1.8.1,True
285,1.8.1,False
286,1.8.1,True
287,1.8.1,True
288,1.8.1,True
289,1.8.1,False
290,1.8.1,True
291,1.8.1,True
292,1.8.1,True
293,1.8.1,True
294,1.8.1,True
295,1.8.1,True
296,1.8.1,False
297,1.8.1,False
298,1.8.1,False
299,1.8.1,False
300,1.8.1,False
301,1.8.1,True
302,1.8.1,True
303,1.8.1,True
304,1.8.1,True
305,1.8.1,True
306,1.8.1,True
307,1.8.1,True
308,1.8.1,True
309,1.8.1,False
310,1.8.1,False
311,1.8.1,False
312,1.8.1,True
313,1.8.1,True
314,1.8.1,True
315,1.8.1,True
316,1.8.1,True
317,1.8.1,True
318,1.8.1,False
319,1.8.1,False
320,1.8.1,True
321,1.8.1,False
322,1.8.1,False
323,1.8.1,True
324,1.8.1,True
325,1.8.1,True
326,1.8.1,True
327,1.8.1,False
328,1.8.1,False
329,1.8.1,True
330,1.8.1,False
331,1.8.1,True
332,1.8.1,True
333,1.8.1,True
334,1.8.1,True
335,1.8.1,True
336,1.8.1,True
337,1.8.1,False
338,1.8.1,True
339,1.8.1,True
340,1.8.1,True
341,1.8.1,False
342,1.8.1,True
343,1.8.1,True
344,1.8.1,True
345,1.8.1,True
346,1.8.1,True
347,1.8.1,False
348,1.8.1,True
349,1.8.1,True
350,1.8.1,True
351,1.8.1,True
352,1.8.1,True
353,1.8.1,False
354,1.8.1,True
355,1.8.1,True
356,1.8.1,False
357,1.8.1,True
358,1.8.1,True
359,1.8.1,True
360,1.8.1,True
361,1.8.1,True
362,1.8.1,True
363,1.8.1,False
364,1.8.1,True
365,1.8.1,True
366,1.8.1,True
367,1.8.1,True
368,1.8.1,False
369,1.8.1,False
370,1.8.1,False
371,1.8.1,True
372,1.8.1,True
373,1.8.1,False
374,1.8.1,False
375,1.8.1,False
376,1.8.1,True
377,1.8.1,False
378,1.8.1,True
379,1.8.1,False
380,1.8.1,False
381,1.8.1,False
382,1.8.1,False
383,1.8.1,False
384,1.8.1,False
385,1.8.1,False
386,1.8.1,False
387,1.8.1,True
388,1.8.1,False
389,1.8.1,False
390,1.8.1,True
391,1.8.1,True
392,1.8.1,False
393,1.8.1,False
394,1.8.1,True
395,1.8.1,False
396,1.8.1,True
397,1.8.1,True
398,1.8.1,True
399,1.8.1,False
400,1.8.1,True
401,1.8.1,True
402,1.8.1,True
403,1.8.1,True
404,1.8.1,True
405,1.8.1,True
406,1.8.1,True
407,1.8.1,True
408,1.8.1,False
409,1.8.1,True
410,1.8.1,False
411,1.8.1,False
412,1.8.1,False
413,1.8.1,False
414,1.8.1,True
415,1.8.1,False
416,1.8.1,True
417,1.8.1,True
418,1.8.1,True
419,1.8.1,False
420,1.8.1,False
421,1.8.1,True
422,1.8.1,False
423,1.8.1,False
424,1.8.1,True
425,1.8.1,False
426,1.8.1,True
427,1.8.1,True
428,1.8.1,False
429,1.8.1,True
430,1.8.1,True
431,1.8.1,False
432,1.8.1,False
433,1.8.1,True
434,1.8.1,True
435,1.8.1,False
436,1.8.1,False
437,1.8.1,True
438,1.8.1,True
439,1.8.1,False
440,1.8.1,False
441,1.8.1,True
442,1.8.1,False
443,1.8.1,True
444,1.8.1,False
445,1.8.1,False
446,1.8.1,True
447,1.8.1,False
448,1.8.1,True
449,1.8.1,True
450,1.8.1,False
451,1.8.1,True
452,1.8.1,True
453,1.8.1,False
454,1.8.1,False
455,1.8.1,True
456,1.8.1,True
457,1.8.1,True
458,1.8.1,True
459,1.8.1,True
460,1.8.1,False
461,1.8.1,False
462,1.8.1,True
463,1.8.1,True
464,1.8.1,False
465,1.8.1,False
466,1.8.1,True
467,1.8.1,True
468,1.8.1,False
469,1.8.1,True
470,1.8.1,True
471,1.8.1,True
472,1.8.1,False
473,1.8.1,True
474,1.8.1,True
475,1.8.1,True
476,1.8.1,True
477,1.8.1,True
478,1.8.1,False
479,1.8.1,False
480,1.8.1,True
481,1.8.1,True
482,1.8.1,False
483,1.8.1,False
484,1.8.1,True
485,1.8.1,False
486,1.8.1,False
487,1.8.1,True
488,1.8.1,False
489,1.8.1,True
490,1.8.1,False
491,1.8.1,False
492,1.8.1,True
493,1.8.1,True
494,1.8.1,False
495,1.8.1,False
496,1.8.1,True
497,1.8.1,False
498,1.8.1,False
499,1.8.1,False
500,1.8.1,False
501,1.8.1,False
502,1.8.1,False
503,1.8.1,False
504,1.8.1,False
505,1.8.1,True
506,1.8.1,False
507,1.8.1,False
508,1.8.1,True
509,1.8.1,False
510,1.8.1,True
511,1.8.1,False
512,1.8.1,False
513,1.8.1,True
514,1.8.1,True
515,1.8.1,False
516,1.8.1,True
517,1.8.1,True
518,1.8.1,True
519,1.8.1,True
520,1.8.1,True
521,1.8.1,False
522,1.8.1,True
523,1.8.1,True
524,1.8.1,False
525,1.8.1,False
526,1.8.1,False
527,1.8.1,True
528,1.8.1,True
529,1.8.1,True
530,1.8.1,True
531,1.8.1,True
532,1.8.1,True
533,1.8.1,True
534,1.8.1,True
535,1.8.1,False
536,1.8.1,True
537,1.8.1,True
538,1.8.1,True
539,1.8.1,True
540,1.8.1,False
541,1.8.1,False
542,1.8.1,False
543,1.8.1,True
544,1.8.1,True
545,1.8.1,True
546,1.8.1,False
547,1.8.1,False
548,1.8.1,True
549,1.8.1,True
550,1.8.1,False
551,1.8.1,True
552,1.8.1,True
553,1.8.1,False
554,1.8.1,True
555,1.8.1,False
556,1.8.1,True
557,1.8.1,False
558,1.8.1,True
559,1.8.1,False
560,1.8.1,False
561,1.8.1,True
562,1.8.1,False
563,1.8.1,True
564,1.8.1,False
565,1.8.1,True
566,1.8.1,False
567,1.8.1,True
568,1.8.1,False
569,1.8.1,False
570,1.8.1,False
571,1.8.1,True
572,1.8.1,True
573,1.8.1,True
574,1.8.1,True
575,1.8.1,True
576,1.8.1,True
577,1.8.1,True
578,1.8.1,True
579,1.8.1,False
580,1.8.1,True
581,1.8.1,True
582,1.8.1,True
583,1.8.1,False
584,1.8.1,False
585,1.8.1,True
586,1.8.1,False
587,1.8.1,True
588,1.8.1,False
589,1.8.1,False
590,1.8.1,True
591,1.8.1,True
592,1.8.1,True
593,1.8.1,False
594,1.8.1,False
595,1.8.1,True
596,1.8.1,True
597,1.8.1,True
598,1.8.1,False
599,1.8.1,True
600,1.8.1,False
601,1.8.1,True
602,1.8.1,False
603,1.8.1,False
604,1.8.1,False
605,1.8.1,False
606,1.8.1,True
607,1.8.1,False
608,1.8.1,True
609,1.8.1,True
610,1.8.1,True
611,1.8.1,True
612,1.8.1,False
613,1.8.1,True
614,1.8.1,True
615,1.8.1,False
616,1.8.1,False
617,1.8.1,True
618,1.8.1,True
619,1.8.1,True
620,1.8.1,False
621,1.8.1,True
622,1.8.1,False
623,1.8.1,True
624,1.8.1,True
625,1.8.1,False
626,1.8.1,False
627,1.8.1,True
628,1.8.1,False
629,1.8.1,True
630,1.8.1,True
631,1.8.1,False
632,1.8.1,False
633,1.8.1,False
634,1.8.1,True
635,1.8.1,True
