,id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
0,212,cbeff0e9-104a-4b4e-ab8d-0e9d4a73f02e,2017-11-24 16:05:42 UTC,I don’t have enough time,,,,
1,747,7f52aeb2-68b1-4d89-b167-d6b5a104138b,2017-11-25 10:52:20 UTC,I prefer not to say,2017-11-25 10:45:28 UTC,3.2,3.0,20.0
2,785,a153788d-39f2-40f1-a360-ab944ee612bb,2017-11-25 12:33:05 UTC,I don’t have enough time,,,,
3,2831,5cbc8827-23de-415c-aa41-b3f2c9f28c0f,2017-11-27 17:51:03 UTC,The course wasn’t what I expected,2017-11-20 18:01:15 UTC,1.16,1.0,16.0
4,2948,efbd0ec1-d3f2-490f-9a21-b423ff9e4e93,2017-11-27 20:01:27 UTC,I don’t have enough time,,,,
5,4681,74082dd9-2f29-4d39-a050-f76849f92747,2017-11-29 14:33:12 UTC,The course required more time than I realised,,,,
6,5010,173449ed-285f-4b8c-8459-e270fd14eb5d,2017-11-29 18:00:23 UTC,Other,2017-11-29 17:57:41 UTC,3.2,3.0,20.0
7,5012,f5cb04e7-e09a-4cce-8f28-4a04b203f27a,2017-11-29 18:02:17 UTC,The course won’t help me reach my goals,2017-11-28 21:01:21 UTC,1.15,1.0,15.0
8,5459,5b4373c7-72cf-4675-8af6-c5589497d392,2017-11-30 01:17:18 UTC,The course wasn’t what I expected,2017-11-19 22:02:09 UTC,1.1,1.0,1.0
9,5847,c91a3011-462a-48be-9f8e-cedfd5b4848b,2017-11-30 09:41:20 UTC,The course required more time than I realised,,,,
10,7128,43c35215-ed8f-4abc-9b7d-dd248cba97dc,2017-12-01 06:42:24 UTC,I prefer not to say,,,,
11,7398,70da3dc8-7cb2-42e1-b006-bf6ae42501aa,2017-12-01 11:34:29 UTC,The course won’t help me reach my goals,,,,
12,7414,daaabc3c-f315-4727-a658-8e22eb682e07,2017-12-01 12:03:46 UTC,The course wasn’t what I expected,,,,
13,7493,02fbf753-9bbe-4236-a0a6-a5d25f3d65f8,2017-12-01 13:33:27 UTC,The course wasn’t what I expected,2017-12-01 13:31:56 UTC,3.2,3.0,20.0
14,7541,f9d649e9-610e-4736-bbc6-a2d678a40857,2017-12-01 14:12:01 UTC,The course required more time than I realised,,,,
15,8286,775f68da-3630-474e-b886-1a8b606735cb,2017-12-02 07:22:21 UTC,Other,,,,
16,8287,775f68da-3630-474e-b886-1a8b606735cb,2017-12-02 07:23:18 UTC,The course wasn’t what I expected,,,,
17,11330,5b43e50b-a7a6-4498-b340-6c58ca39de40,2017-12-04 05:20:37 UTC,I don’t have enough time,,,,
18,11479,307a085e-b29b-43d0-aeb4-88fab233a3a6,2017-12-04 07:01:20 UTC,I prefer not to say,2017-12-28 15:31:12 UTC,1.8,1.0,8.0
19,11930,1139938f-3772-40c7-bee2-53a77f1cb878,2017-12-04 11:40:31 UTC,Other,2017-11-17 18:28:42 UTC,1.2,1.0,2.0
20,12343,97a8b4d1-4a50-402b-8ead-442caf9a5396,2017-12-04 14:00:40 UTC,The course required more time than I realised,,,,
21,12544,7fe2aa85-7eb9-43cb-a68f-4ebf6a625d66,2017-12-04 15:00:18 UTC,The course wasn’t what I expected,,,,
22,13637,ef7ecae6-4a0c-48f0-bd27-2bc3d55a7942,2017-12-04 23:47:58 UTC,The course was too easy,,,,
23,13663,470171ac-7fc9-47bc-bfca-819682ae75ca,2017-12-05 00:22:18 UTC,The course required more time than I realised,2017-11-15 02:47:29 UTC,1.3,1.0,3.0
24,14154,a9d385ab-5785-43d4-a126-bd7f070b932c,2017-12-05 09:29:09 UTC,The course required more time than I realised,2017-11-15 12:31:47 UTC,1.19,1.0,19.0
25,15137,206f1ef2-408a-4ede-a3d2-edbceea5d0c9,2017-12-05 19:35:56 UTC,The course wasn’t what I expected,2017-12-05 19:34:37 UTC,3.2,3.0,20.0
26,16110,9a4b15f1-e7df-41f8-a586-97fff9db0486,2017-12-06 12:55:08 UTC,The course won’t help me reach my goals,2017-11-19 12:40:29 UTC,1.2,1.0,2.0
27,16419,94a0c34f-44c4-4729-8b3e-1eeb19caf8ab,2017-12-06 15:52:09 UTC,The course wasn’t what I expected,2017-12-06 15:51:28 UTC,1.5,1.0,5.0
28,16525,57333e6b-5164-4214-b85e-3877675aad70,2017-12-06 17:25:32 UTC,Other,2017-12-06 17:21:07 UTC,3.19,3.0,19.0
29,16967,de6f99e0-4f64-4325-88f5-abb9196be8b3,2017-12-07 00:14:06 UTC,The course won’t help me reach my goals,2017-12-07 00:13:18 UTC,3.18,3.0,18.0
30,16986,144b1a9b-1d26-402d-ba5e-ebec424524e7,2017-12-07 00:35:50 UTC,The course wasn’t what I expected,2017-11-29 18:30:41 UTC,1.7,1.0,7.0
31,17076,a91ba3f3-5a83-4a6b-8d31-bb4f41b7f0a9,2017-12-07 04:13:29 UTC,I don’t have enough time,2017-12-07 04:11:33 UTC,3.18,3.0,18.0
32,17136,4f530b79-4fe2-4270-89bb-90c3bde892ac,2017-12-07 06:16:45 UTC,I don’t have enough time,2017-11-20 06:55:59 UTC,1.3,1.0,3.0
33,17536,0636f5ca-0553-4e18-ad69-97d04bc1cb1b,2017-12-07 12:02:25 UTC,The course was too easy,,,,
34,18652,2260bdda-ff43-4b7c-8761-08bacb7b501f,2017-12-08 21:56:26 UTC,Other,,,,
35,18704,63fb5e80-b20f-4c47-913b-39673c7b6c67,2017-12-09 00:06:14 UTC,Other,,,,
36,19069,591949f6-3c78-48e0-aaa8-f7ca6915394a,2017-12-09 17:31:24 UTC,Other,,,,
37,20096,311cf44a-fb2c-4709-8800-c96c2a467ab4,2017-12-11 05:15:08 UTC,The course was too hard,2017-11-24 11:41:41 UTC,1.15,1.0,15.0
38,20213,69236df4-cd4f-42e4-a864-e0d37b25e3a9,2017-12-11 09:06:22 UTC,The course won’t help me reach my goals,2017-11-13 14:15:18 UTC,1.5,1.0,5.0
39,20277,e6d5edc0-3117-4c29-b152-2c6672ea9ec9,2017-12-11 10:21:22 UTC,Other,2017-12-01 13:37:04 UTC,1.1,1.0,1.0
40,21822,f6d4ca80-dc5e-4758-8506-fa34e2d49c87,2017-12-12 17:32:11 UTC,The course wasn’t what I expected,,,,
41,23030,3525a122-d068-446d-99c5-8f8f7468c0f2,2017-12-14 12:23:30 UTC,The course wasn’t what I expected,,,,
42,23045,d237204a-736d-44b9-9fec-cd52dcfb26c8,2017-12-14 12:50:09 UTC,I don’t have enough time,2017-12-14 12:18:38 UTC,1.2,1.0,2.0
43,23076,1ab9abf9-58bb-431c-b00a-a4cc4cf9a186,2017-12-14 13:23:24 UTC,Other,2017-12-14 13:19:52 UTC,3.2,3.0,20.0
44,23299,46546546-9429-42dc-84ef-d4a24f193c50,2017-12-14 20:23:01 UTC,Other,2017-12-14 20:19:35 UTC,3.9,3.0,9.0
45,23390,76097bfc-3d80-476e-8816-885971c35f83,2017-12-14 23:49:18 UTC,I don’t have enough time,2018-01-09 21:47:26 UTC,1.5,1.0,5.0
46,24198,1c092421-43b6-4040-86b4-9960fcb3d19e,2017-12-16 10:45:51 UTC,Other,,,,
47,24273,532b41f3-e1ca-4f37-b420-41402eb166bb,2017-12-16 13:17:43 UTC,I don’t have enough time,,,,
48,24491,a19c0d8c-c5cf-4f4b-8dfb-4e3045ac17b1,2017-12-16 21:40:10 UTC,The course won’t help me reach my goals,,,,
49,24965,a9913451-0fa6-4d0b-9534-6a0c7e19d17a,2017-12-17 18:57:48 UTC,The course wasn’t what I expected,2017-12-17 18:55:49 UTC,2.2,2.0,20.0
50,25430,39c549be-ee8a-4d50-aad5-0e803d23a197,2017-12-18 07:07:36 UTC,The course won’t help me reach my goals,2017-11-20 14:02:52 UTC,1.19,1.0,19.0
51,25474,80cf5cfc-c015-4067-9415-c7a3a2db240b,2017-12-18 07:55:37 UTC,Other,2017-12-17 18:20:31 UTC,3.18,3.0,18.0
52,25629,5dcf468f-a27f-4e28-8466-4a46e477fa71,2017-12-18 09:54:52 UTC,I don’t have enough time,2017-12-01 15:42:45 UTC,2.8,2.0,8.0
53,25650,9df2d5a4-f2ad-41c6-a334-3c33cd1d1a3d,2017-12-18 10:19:46 UTC,I don’t have enough time,,,,
54,25680,9eff67d4-e0d9-4685-9b00-96703c7f4075,2017-12-18 10:51:35 UTC,The course was too hard,,,,
55,25771,6e106913-6be7-4c43-a9c1-0ce499a99008,2017-12-18 12:04:28 UTC,Other,,,,
56,26416,51e52a52-68d5-4825-b40a-967ebb41b69c,2017-12-18 19:17:06 UTC,The course was too hard,,,,
57,26601,662f9217-59d5-4453-8b19-079a3806b995,2017-12-18 22:22:45 UTC,The course wasn’t what I expected,,,,
58,26622,9a1a28ea-bb89-42aa-acec-47f7e2eb84d8,2017-12-18 22:39:24 UTC,Other,,,,
59,26679,1a818bcb-d057-4cfa-93e2-4055c36dd947,2017-12-19 00:13:01 UTC,Other,,,,
60,26809,7abde1dc-748a-4cb8-91f0-2492ce04324c,2017-12-19 05:15:23 UTC,The course was too hard,,,,
61,27101,0d2ec79e-dbed-4f90-a853-72b81eab5dc2,2017-12-19 10:46:02 UTC,The course wasn’t what I expected,,,,
62,27210,cb1bdfee-8d60-4afb-bdc6-72bf40f368ce,2017-12-19 13:07:06 UTC,The course won’t help me reach my goals,,,,
63,27243,b1128a68-e1f6-470b-8736-679bd5f0621f,2017-12-19 13:29:20 UTC,I don’t have enough time,,,,
64,27692,10535f58-fe40-45e3-9869-44c2c0d52d48,2017-12-19 22:50:35 UTC,The course was too hard,,,,
65,28183,63b103d6-4a5d-4ee8-9d25-44d4803cb687,2018-01-11 01:02:40 UTC,Other,2018-01-10 02:22:56 UTC,3.2,3.0,20.0
66,29920,ccffd88d-e492-4152-b8bc-c38c46d1fafc,2018-01-27 11:04:26 UTC,The course required more time than I realised,,,,
0,34003,8853543d-b930-43e0-a3cb-99de6b9ea4f3,2018-01-30 20:04:59 UTC,I prefer not to say,,,,
1,38604,b170480c-7ed6-434f-8827-73cfa130ece1,2018-02-05 03:01:39 UTC,The course required more time than I realised,,,,
2,39016,92b8485e-b2a6-4345-8721-3e93142b469d,2018-02-05 10:30:03 UTC,Other,,,,
3,39241,f4cae359-0966-4a6d-830f-4218861f2fd9,2018-02-05 13:27:14 UTC,Other,,,,
4,39604,3429e915-a619-4853-9d7b-4ba7a0e218a0,2018-02-05 17:32:53 UTC,I prefer not to say,,,,
5,39657,a04b5f29-c283-419f-b262-5797c9220aa9,2018-02-05 18:12:27 UTC,Other,2018-02-05 18:12:15 UTC,1.2,1.0,2.0
6,39986,7a397770-4c11-4606-bb9c-49651a961577,2018-02-05 23:02:17 UTC,Other,,,,
7,40050,1db6b8bc-6216-4bc6-8d94-e3b54681e94a,2018-02-06 00:48:52 UTC,Other,,,,
8,40617,e4a60824-c65e-4442-811e-4678f368772d,2018-02-06 14:02:14 UTC,The course was too hard,,,,
9,40786,f0a37bd6-3231-44b0-97e0-4bd6ff71de1b,2018-02-06 16:33:52 UTC,Other,,,,
10,41102,3ae76b85-153a-4fe6-8a24-46d795e2608c,2018-02-06 20:00:27 UTC,The course wasn’t what I expected,2018-02-06 19:04:22 UTC,1.1,1.0,1.0
11,41347,a1d58afb-bfbd-42d4-bc9b-dde8b6d41f67,2018-02-06 22:15:58 UTC,The course won’t help me reach my goals,,,,
12,41471,7e972bbd-69c7-4395-84f8-e2fb19454d1a,2018-02-07 01:52:15 UTC,I prefer not to say,,,,
13,41893,f6ec6af3-d021-4422-a7c7-82012145f590,2018-02-07 12:49:19 UTC,The course was too easy,2018-02-06 11:17:02 UTC,1.2,1.0,2.0
14,42361,c34d4236-e595-4a44-8e49-245ea4e64e51,2018-02-07 18:28:24 UTC,Other,,,,
15,43060,05d85e9d-3d23-448b-abd1-a945f9a1645e,2018-02-08 13:44:32 UTC,The course required more time than I realised,,,,
16,43628,36910dcc-a5dd-4a93-88cb-178ed63f89bc,2018-02-09 08:06:00 UTC,The course required more time than I realised,,,,
17,43958,adccb0bb-70c2-4a04-93c4-58e7a945bf28,2018-02-09 12:42:34 UTC,The course won’t help me reach my goals,,,,
18,44237,5086b814-3121-43e7-999b-926113ae98d2,2018-02-09 18:31:44 UTC,I prefer not to say,2018-02-09 18:24:29 UTC,1.3,1.0,3.0
19,45136,ea9b9a0b-6af5-469d-850f-c25fcbf59727,2018-02-11 04:46:32 UTC,The course won’t help me reach my goals,,,,
20,45582,74082dd9-2f29-4d39-a050-f76849f92747,2018-02-11 17:42:39 UTC,The course was too easy,,,,
21,46764,7b30f56d-593b-43e6-bac2-9397dedfecce,2018-02-12 17:32:30 UTC,Other,2018-02-13 15:09:46 UTC,3.2,3.0,20.0
22,46828,c32fad63-a3d7-4944-80b6-2efd032028a4,2018-02-12 19:09:26 UTC,The course wasn’t what I expected,,,,
23,46902,08f3cb8f-01d4-41dc-9aa4-376a051cbc37,2018-02-12 20:10:36 UTC,Other,2018-02-07 21:13:01 UTC,1.8,1.0,8.0
24,47778,3603bbf1-674a-4a4f-a3ba-3ecb9a8826ff,2018-02-13 18:24:30 UTC,Other,,,,
25,48327,fa001738-ecab-459b-9c05-e41eb186edec,2018-02-14 01:14:30 UTC,The course was too hard,,,,
26,48595,f9da37fe-f254-4ab7-a2b1-373c860b2e4e,2018-02-14 08:52:07 UTC,The course was too hard,2018-02-22 13:04:30 UTC,1.19,1.0,19.0
27,48826,6ccdcbce-51c2-449f-a501-320ae2ccde09,2018-02-14 11:14:02 UTC,The course won’t help me reach my goals,2018-02-14 11:12:40 UTC,1.19,1.0,19.0
28,48919,d7782f9f-61d1-48f5-af83-a09d884d75b3,2018-02-14 12:35:58 UTC,I prefer not to say,,,,
29,48944,ce811939-1e08-47ab-a485-57a389e07f33,2018-02-14 13:00:22 UTC,The course won’t help me reach my goals,,,,
