,quiz_question,correct,correct_label
0,1.8.1,True,1
1,1.8.1,False,0
2,1.8.1,False,0
3,1.8.1,True,1
4,1.8.1,False,0
5,1.8.1,False,0
6,1.8.1,True,1
7,1.8.1,True,1
8,1.8.1,True,1
9,1.8.1,True,1
10,1.8.1,False,0
11,1.8.1,False,0
12,1.8.1,False,0
13,1.8.1,True,1
14,1.8.1,False,0
15,1.8.1,False,0
16,1.8.1,True,1
17,1.8.1,True,1
18,1.8.1,False,0
19,1.8.1,False,0
20,1.8.1,False,0
21,1.8.1,False,0
22,1.8.1,False,0
23,1.8.1,False,0
24,1.8.1,True,1
25,1.8.1,True,1
26,1.8.1,True,1
27,1.8.1,True,1
28,1.8.1,True,1
29,1.8.1,True,1
30,1.8.1,True,1
31,1.8.1,True,1
32,1.8.1,True,1
33,1.8.1,True,1
34,1.8.1,True,1
35,1.8.1,True,1
36,1.8.1,True,1
37,1.8.1,True,1
38,1.8.1,True,1
39,1.8.1,False,0
40,1.8.1,False,0
41,1.8.1,False,0
42,1.8.1,False,0
43,1.8.1,True,1
44,1.8.1,True,1
45,1.8.1,True,1
46,1.8.1,True,1
47,1.8.1,False,0
48,1.8.1,False,0
49,1.8.1,False,0
50,1.8.1,True,1
51,1.8.1,False,0
52,1.8.1,True,1
53,1.8.1,True,1
54,1.8.1,True,1
55,1.8.1,True,1
56,1.8.1,True,1
57,1.8.1,False,0
58,1.8.1,True,1
59,1.8.1,True,1
60,1.8.1,True,1
61,1.8.1,True,1
62,1.8.1,False,0
63,1.8.1,True,1
64,1.8.1,True,1
65,1.8.1,False,0
66,1.8.1,False,0
67,1.8.1,True,1
68,1.8.1,True,1
69,1.8.1,False,0
70,1.8.1,True,1
71,1.8.1,False,0
72,1.8.1,True,1
73,1.8.1,False,0
74,1.8.1,False,0
75,1.8.1,True,1
76,1.8.1,True,1
77,1.8.1,True,1
78,1.8.1,True,1
79,1.8.1,True,1
80,1.8.1,True,1
81,1.8.1,True,1
82,1.8.1,True,1
83,1.8.1,True,1
84,1.8.1,False,0
85,1.8.1,True,1
86,1.8.1,True,1
87,1.8.1,True,1
88,1.8.1,True,1
89,1.8.1,False,0
90,1.8.1,False,0
91,1.8.1,True,1
92,1.8.1,True,1
93,1.8.1,False,0
94,1.8.1,True,1
95,1.8.1,False,0
96,1.8.1,True,1
97,1.8.1,True,1
98,1.8.1,True,1
99,1.8.1,True,1
100,1.8.1,True,1
101,1.8.1,True,1
102,1.8.1,False,0
103,1.8.1,True,1
104,1.8.1,True,1
105,1.8.1,False,0
106,1.8.1,False,0
107,1.8.1,True,1
108,1.8.1,True,1
